Formula=CUBED_DSV
Id=1121
Name=FPM Master Table
Options=MASTER
ShortNameVersion=FPM Masters 16
Version=2025
Courses=LCM,SCM

<BASETIMES>
course;gender;agemin;agemax;distance;stroke;mintime;relaycount
SCM;M;25;29;50;FREE;0:21.82;1
SCM;M;30;34;50;FREE;0:22.02;1
SCM;M;35;39;50;FREE;0:22.23;1
SCM;M;40;44;50;FREE;0:22.78;1
SCM;M;45;49;50;FREE;0:23.46;1
SCM;M;50;54;50;FREE;0:23.79;1
SCM;M;55;59;50;FREE;0:24.74;1
SCM;M;60;64;50;FREE;0:25.46;1
SCM;M;65;69;50;FREE;0:26.56;1
SCM;M;70;74;50;FREE;0:28.40;1
SCM;M;75;79;50;FREE;0:30.71;1
SCM;M;80;84;50;FREE;0:33.46;1
SCM;M;85;89;50;FREE;0:36.81;1
SCM;M;90;94;50;FREE;0:45.02;1
SCM;M;95;99;50;FREE;0:51.38;1
SCM;M;100;104;50;FREE;1:35.21;1
SCM;M;25;29;100;FREE;0:48.55;1
SCM;M;30;34;100;FREE;0:49.02;1
SCM;M;35;39;100;FREE;0:49.39;1
SCM;M;40;44;100;FREE;0:50.12;1
SCM;M;45;49;100;FREE;0:51.91;1
SCM;M;50;54;100;FREE;0:53.37;1
SCM;M;55;59;100;FREE;0:55.03;1
SCM;M;60;64;100;FREE;0:56.97;1
SCM;M;65;69;100;FREE;0:59.74;1
SCM;M;70;74;100;FREE;1:04.65;1
SCM;M;75;79;100;FREE;1:09.45;1
SCM;M;80;84;100;FREE;1:15.24;1
SCM;M;85;89;100;FREE;1:26.21;1
SCM;M;90;94;100;FREE;1:48.86;1
SCM;M;95;99;100;FREE;2:02.49;1
SCM;M;100;104;100;FREE;3:22.27;1
SCM;M;25;29;200;FREE;1:48.02;1
SCM;M;30;34;200;FREE;1:48.72;1
SCM;M;35;39;200;FREE;1:51.42;1
SCM;M;40;44;200;FREE;1:53.25;1
SCM;M;45;49;200;FREE;1:54.65;1
SCM;M;50;54;200;FREE;1:57.85;1
SCM;M;55;59;200;FREE;2:02.42;1
SCM;M;60;64;200;FREE;2:06.40;1
SCM;M;65;69;200;FREE;2:14.74;1
SCM;M;70;74;200;FREE;2:25.77;1
SCM;M;75;79;200;FREE;2:35.93;1
SCM;M;80;84;200;FREE;2:54.90;1
SCM;M;85;89;200;FREE;3:18.46;1
SCM;M;90;94;200;FREE;4:05.15;1
SCM;M;95;99;200;FREE;4:42.60;1
SCM;M;100;104;200;FREE;5:12.46;1
SCM;M;25;29;400;FREE;3:55.08;1
SCM;M;30;34;400;FREE;3:56.07;1
SCM;M;35;39;400;FREE;3:59.38;1
SCM;M;40;44;400;FREE;4:01.63;1
SCM;M;45;49;400;FREE;4:07.43;1
SCM;M;50;54;400;FREE;4:13.08;1
SCM;M;55;59;400;FREE;4:22.28;1
SCM;M;60;64;400;FREE;4:32.69;1
SCM;M;65;69;400;FREE;4:51.13;1
SCM;M;70;74;400;FREE;5:12.99;1
SCM;M;75;79;400;FREE;5:37.93;1
SCM;M;80;84;400;FREE;6:14.67;1
SCM;M;85;89;400;FREE;7:11.56;1
SCM;M;90;94;400;FREE;8:51.64;1
SCM;M;95;99;400;FREE;10:00.01;1
SCM;M;100;104;400;FREE;10:50.76;1
SCM;M;25;29;800;FREE;8:11.18;1
SCM;M;30;34;800;FREE;8:15.97;1
SCM;M;35;39;800;FREE;8:19.10;1
SCM;M;40;44;800;FREE;8:24.94;1
SCM;M;45;49;800;FREE;8:38.27;1
SCM;M;50;54;800;FREE;8:49.44;1
SCM;M;55;59;800;FREE;9:04.92;1
SCM;M;60;64;800;FREE;9:26.97;1
SCM;M;65;69;800;FREE;10:05.52;1
SCM;M;70;74;800;FREE;10:53.70;1
SCM;M;75;79;800;FREE;11:51.94;1
SCM;M;80;84;800;FREE;13:24.00;1
SCM;M;85;89;800;FREE;15:21.94;1
SCM;M;90;94;800;FREE;19:39.28;1
SCM;M;95;99;800;FREE;20:58.26;1
SCM;M;100;104;800;FREE;21:54.85;1
SCM;M;25;29;1500;FREE;15:58.19;1
SCM;M;30;34;1500;FREE;15:59.37;1
SCM;M;35;39;1500;FREE;16:02.94;1
SCM;M;40;44;1500;FREE;16:15.01;1
SCM;M;45;49;1500;FREE;16:38.12;1
SCM;M;50;54;1500;FREE;16:58.11;1
SCM;M;55;59;1500;FREE;17:24.97;1
SCM;M;60;64;1500;FREE;18:18.19;1
SCM;M;65;69;1500;FREE;19:26.45;1
SCM;M;70;74;1500;FREE;20:45.26;1
SCM;M;75;79;1500;FREE;22:43.84;1
SCM;M;80;84;1500;FREE;25:46.46;1
SCM;M;85;89;1500;FREE;29:59.71;1
SCM;M;90;94;1500;FREE;37:16.87;1
SCM;M;95;99;1500;FREE;39:07.81;1
SCM;M;100;104;1500;FREE;41:24.83;1
SCM;M;25;29;50;BACK;0:24.27;1
SCM;M;30;34;50;BACK;0:24.68;1
SCM;M;35;39;50;BACK;0:25.12;1
SCM;M;40;44;50;BACK;0:25.98;1
SCM;M;45;49;50;BACK;0:26.50;1
SCM;M;50;54;50;BACK;0:27.02;1
SCM;M;55;59;50;BACK;0:28.47;1
SCM;M;60;64;50;BACK;0:30.01;1
SCM;M;65;69;50;BACK;0:32.00;1
SCM;M;70;74;50;BACK;0:34.15;1
SCM;M;75;79;50;BACK;0:37.32;1
SCM;M;80;84;50;BACK;0:39.76;1
SCM;M;85;89;50;BACK;0:46.37;1
SCM;M;90;94;50;BACK;0:56.82;1
SCM;M;95;99;50;BACK;1:10.79;1
SCM;M;100;104;50;BACK;2:10.70;1
SCM;M;25;29;100;BACK;0:53.62;1
SCM;M;30;34;100;BACK;0:53.84;1
SCM;M;35;39;100;BACK;0:54.98;1
